393,apuqsru-*,(i) to ask; (t) to ask,,,,,,
394,apuqsruti-*,(t) to ask,,,,,,
395,aqchaaġayuk,parasitic jaegar (Stercorarius parasiticus),,,,,,
396,aqpaluqtuq-,"to run with a message, often at whaling time to announce a catch",,,,,,
397,aqpasruq-,"to run, jog",,,,,,
398,aqpauti-,"(i) to race, run in a race",,,,,,
399,aqpiq-*,to force,Aqpiġiga.,I forced it. ,,,,
400,aqqa!,stinks!,,,,,,
401,aqsaurraq-,to fight over something to try to gain possession (i) ,,,,,,
402,aqsraaq-,to play basketball,Aqsraaqtut. ,They are playing basketball.,,,,
403,aqsraatchiaq-,to compete at highkick,,,,,,
404,aqsraq,ball,Aqsraq una aqsraqtuq. ,This ball is rolling. ,,,,
405,aqsraq-,(i) to play basketball,,,,,,
406,aquaniit-,to be on the bed of the truck or in the truck of the car or in the sterm of the boat,,,,,,
407,aqvaluq-,to be round ,,,,,,
408,aqvaluqtaaq-,to be round ,,,,,,
409,arak-*,"(t) to encourage, comfort",,,,,,
410,araktit-,(t) to make comfortable?,,,,,,
411,argaaq,glove,,,,,,
412,argachuuŋi-,to shake hands,,,,,,
413,argak,hand,argaak,two hands,,,,
414,argiġwik,"a barbecue, roasting spit",,,,,,
415,arġiq,pancake,,,,,,
416,argiq-,to roast something on a spit,,,,,,
417,argiun,frying pan,,,,,,
418,arġuanaq-,"(i) to uncertain, doubtful",,,,,,
419,arguaŋa-,(i) to be audacious,,,,,,
420,arguatchuq-,to doubt,,,,,,
421,arrak-*,"(i) to be pacified, appeased, to satisfy, fulfill his needs; (t) to pacify, appease",,,,,,
422,arrġipak*,cake,,,,,,
423,asi-,(t) to be identical,,,,,,
424,asiŋa-,to be identical,,,,,,
425,asri-,to imitate,,,,,,
426,asrigiik-,to be identical,,,,,,
427,asrigiik-*,(i) to be alike,,,,,,
428,asriŋa,pattern,,,,,,
429,asrri-,to mimic,,,,,,
430,asrrigiiŋilak,a mismatched pair of things,,,,,,
431,asrrili-,"(t) to copy, imitate, ""ape"", make copies",,,,,,
432,asrrilichiun,copier (machine),,,,,,
433,asrriliun,"Xerox machine, copier",,,,,,
434,asruk-,"to be equal, identical in value/equal amount",,,,,,
435,asruq-,"to be same, alike",,,,,,
436,ataaniit-,"(i) to be below, under something/someone",,,,,,
437,ataata,father,,,,,,
438,ataga-,(i) to travel downriver,,,,,,
439,atakagit taiyuutit,consonants,,,,,,
440,atanŋuchuq-,(i) to be bossy,,,,,,
441,ataŋniq-,"(i) to register, sign up",,,,,,
442,Ataŋnun aglautiga,?,,,,,,
443,atauchikłiuq-*,(i) to pay (going to pay?),,,,,,
444,atauchimuk-,(t) to combine,,,,,,
445,atauchimun,together,,,,,,
446,atauchiq,"one, number one",,,,,,
447,atauchiq-,to pay,Atautchiġaa. ,S/he pays him/her. ,,,,
448,atauchiu-,"to be one, in number",,,,,,
449,atautchikun,"together, as a group",,,,,,
450,atautchikun*,altogether,,,,,,
451,atautchimi,"once, one time",,,,,,
452,atautchuŋiaq-,"to congregate, like husband and wife",,,,,,
453,atautiqasraq-*,(i) to pay for?,,,,,,
454,atchak,aunt (dad's sister),atchaaŋ,"you, my dear aunt",,,,
455,atchii-,"(i) to register, sign up",,,,,,
456,atchikluaq iġinaq qatikilaq*,low-pitched voice?,,,,,,
457,atchiŋaqtigi-,to upset the order of someone's activity,,,,,,
458,atchiŋuq-,to damage,,,,,,
459,atchiŋuqtiq-,"to damage, destroy",,,,,,
460,atchiq-,"(t) to name, give a name too",,,,,,
461,ati-,to put on a garment,,,,,,
462,ati-,"(i) to be same, alike",,,,,,
463,atiġaqtaq-,to jump rope,,,,,,
464,atiġaqtaun,jump rope,,,,,,
465,atigi,"parka, hooded jacket",,,,,,
466,atigi-,(i) to put on a parka; (t) to put a parka on,,,,,,
467,atikiutiksrat,"clean, washed clothes",,,,,,
468,atikłuk,"shirt, blouse",,,,,,
469,atikłuk-,to put on a shirt?,,,,,,
470,atippatichaq,slippers,,,,,,
471,atippatisraq,slippers,,,,,,
472,atiq,"name, namesake",,,,,,
473,atiqaqtuq,noun (it has a name),,,,,,
474,atiqsrutchuk,parka when it gets old,,,,,,
475,atmiuŋnaq-,"to go do, descend",Atmiuŋnaqtuq. ,S/he/it is going down. ,,,,
476,atniġnaq-,"(i) to hurt, ache, be ijn pain, be sick",,,,,,
477,atniġnaun,"an ache, disease",,,,,,
478,atniłiq,a bruise - don't know how it got hurt like that,,,,,,
479,atniłiq,a crippled person,,,,,,
480,atniq-,"(i) to get hurt; (t) to hurt, injure someone; (i) to be crippled",,,,,,
481,atniqchi-,to complain making wistful sighs when dissapointed in an outcome,,,,,,
482,atnuġaaġaiyaat,clothing,,,,,,
483,atnuġaagiyaq-,(i) to undress,,,,,,
484,atnuġaaqtuq-,"to dress, put clothes on",,,,,,
485,atnuġait-,to be naked,Atnuġailaq. ,S/he is naked.,,,,
486,atnuġaiyaq-,to take clothes off,,,,,,
487,atqagatauraq-,to descend gradually,,,,,,
488,atqaq-,"(i) to go down, descend",,,,,,
489,atqaqtaq-*,"(t) to put, place down from a higher level to a lower level",,,,,,
490,attataa*,stem of a plant (just like the ribs connected to the backbone) ,,,,,,
491,attati,*backbone connected to ribs,,,,,,
492,atuġaiyaaq-,to play many instruments,Atuġaiyaaqtuat.,They're playing with many instruments,,,,
493,atuġikuk-*,"to share, take turns using something only once? ",,,,,,
494,atuġniaq-,(t) to lend,,,,,,
495,atuguŋaiq-,to deteriorate,,,,,,
496,atuŋaiq-,"to not be operational, to be damaged",,,,,,
497,atuŋnaqchiguq-*,to complete something to wear,,,,,,
498,atuq-,to use,Nakuuŋituamik atuqtuq. ,S/he is obstinant. ,,,,
499,atuq-,to sing,,,,,,
500,atuqti,singer,,,,,,
501,atuqtit-,"(t) to share, take turns using something",,,,,,
502,atuqtui-,to accept (i),,,,,,
503,atuqtuq-,to accept,Akuqtuġaa.,S/he accepted it.,,,,
504,atuuluuraq,lullaby,,,,,,
505,atuun,"record, song",,,,,,
506,atuuraamiknik,many instruments,,,,,,
507,atuuraaq-,(i) to play a musical instrument ,,,,,,
508,atuuraat,guitar,,,,,,
509,atuuragun,string instrument,,,,,,
510,atuuram qaniqchuutiksraa*,string for musical instrument,,,,,,
511,atuuramik,music,,,,,,
512,atuuraq,"musical instrument, e.g., violin, guitar",,,,,,
513,atuuraq-,to play music,,,,,,
514,atuuraqti,musician,,,,,,
515,atuutim nalunaitkutai*,vowel ,,,,,,
516,atuutit,songbook,,,,,,
517,au-,"(i) to rot, decay",,,,,,
518,auk,blood,,,,,,
519,auk-,"(i) to bleed, menstruate, have a nosebleed",,,,,,
520,auk-,"to melt, thaw",,,,,,
521,aukchiri-,(i) to make water by melting ice or snow,,,,,,
522,auktaq,"mole, birthmark",,,,,,
523,auktit-,to have a nosebleed,,,,,,
524,aulayyak-,"to begin to move, come free",,,,,,
525,aullaaq-,(i) to go camping,,,,,,
526,aullakiqpa-*,to persuade,tili aullakitchuŋinŋaan*,?,,,,
527,aullaŋit-,"to pass by, go by without stopping",Aullaŋilaq. ,S/he passes by without stopping. ,,,,
528,aullaq-,"(i) to leave, depart, set out, take a trip",,,,,,
